Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Afghanistan,16,6066579,14.0,12.0
Albania,100,2840948,46.0,43.0
Algeria,35,15205854,18.0,15.0
Angola,56,17896626,38.0,20.0
Argentina,225,101147280,91.0,83.0
Armenia,73,2149195,38.0,33.0
Aruba,161,170938,83.0,77.0
Australia,227,57521253,88.0,85.0
Austria,207,18336033,77.0,75.0
Azerbaijan,137,13698183,53.0,48.0
Bahamas,88,340866,43.0,41.0
Bahrain,210,3439499,75.0,74.0
Bangladesh,159,259689592,79.0,72.0
Barbados,110,314737,57.0,53.0
Belarus,135,12807687,67.0,64.0
Belgium,221,25336921,80.0,80.0
Belize,122,475163,61.0,54.0
Benin,28,3333450,27.0,22.0
Bhutan,250,1907509,91.0,88.0
Bolivia,118,13561697,62.0,52.0
Bosnia and Herzegovina,58,1924950,29.0,26.0
Botswana,83,1920000,64.0,58.0
Brazil,207,437099610,87.0,78.0
Brunei,259,1124061,99.0,94.0
Bulgaria,63,4395053,30.0,30.0
Burkina Faso,14,2928989,12.0,7.6
Burundi,0,12651,0.1,0.1
Cambodia,233,38460180,91.0,86.0
Cameroon,7,1828882,6.0,4.7
Canada,226,84952660,87.0,83.0
Cape Verde,138,758359,65.0,56.0
Central African Republic,22,1037580,22.0,21.0
Chad,15,2347168,14.0,13.0
Chile,291,55162264,95.0,92.0
Colombia,166,83585958,84.0,71.0
Comoros,75,642320,40.0,35.0
Congo,1,881240,0.9,1.2
Costa Rica,216,10909597,88.0,82.0
Croatia,129,5250537,57.0,55.0
Cuba,321,36398181,94.0,88.0
Curaçao,160,252518,69.0,63.0
Cyprus,149,1784616,56.0,54.0
Czech Republic,165,17617946,65.0,64.0
Denmark,227,13220825,83.0,82.0
Djibouti,19,185126,17.0,13.0
Dominican Rep.,146,15634367,67.0,56.0
Ecuador,200,34752580,87.0,80.0
Egypt,83,82828973,46.0,35.0
El Salvador,165,10680432,71.0,67.0
Equatorial Guinea,35,479991,20.0,16.0
Estonia,150,1987124,65.0,64.0
Eswatini,47,535393,34.0,29.0
Ethiopia,26,29373478,22.0,19.0
Fiji,165,1466908,79.0,71.0
Finland,213,11771112,82.0,78.0
France,215,144192526,81.0,79.0
French Polynesia,162,452385,67.0,65.0
Gabon,26,556657,14.0,12.0
Gambia,31,720698,16.0,14.0
Georgia,78,2888622,44.0,34.0
Germany,216,179669929,78.0,78.0
Ghana,49,14872174,32.0,20.0
Greece,196,20984775,74.0,71.0
Grenada,79,88384,39.0,34.0
Guatemala,104,17289566,49.0,37.0
Guinea,48,6111743,35.0,20.0
Guinea-Bissau,29,562620,27.0,18.0
Guyana,116,905748,61.0,47.0
Haiti,2,278982,1.6,1.1
Honduras,143,13927995,62.0,56.0
Hong Kong,221,16453534,90.0,84.0
Hungary,169,16530488,66.0,63.0
Iceland,223,805469,86.0,80.0
India,140,1918969942,74.0,64.0
Indonesia,148,401308016,74.0,62.0
Iran,180,149627521,78.0,70.0
Iraq,46,18190992,27.0,19.0
Ireland,221,10904913,83.0,82.0
Israel,200,18149665,74.0,68.0
Italy,228,137430342,84.0,79.0
Ivory Coast,48,12387947,31.0,21.0
Jamaica,49,1431634,27.0,24.0
Japan,220,277526349,82.0,81.0
Jordan,98,9922666,47.0,44.0
Kazakhstan,113,20918681,51.0,50.0
Kenya,34,17992422,23.0,16.0
Kiribati,123,144216,68.0,49.0
Kosovo,99,1828431,49.0,45.0
Kuwait,190,8002689,81.0,79.0
Kyrgyzstan,48,3074891,24.0,20.0
Laos,151,10804053,81.0,70.0
Latvia,151,2889300,70.0,68.0
Lebanon,82,5613936,39.0,34.0
Lesotho,44,933825,44.0,35.0
Liberia,37,1837296,35.0,29.0
Libya,51,3456207,33.0,17.0
Lithuania,161,4483421,70.0,67.0
Luxembourg,208,1290011,78.0,74.0
Macau,220,1392157,96.0,90.0
Madagascar,8,2369775,4.8,4.3
Mainland China,241,3369057000,92.0,90.0
Malawi,12,2166402,8.6,6.1
Malaysia,221,70762530,87.0,84.0
Maldives,177,942138,75.0,72.0
Mali,10,1993965,7.3,5.5
Malta,257,1291229,95.0,93.0
Mauritania,59,2650000,35.0,24.0
Mauritius,213,2698115,79.0,76.0
Mexico,162,206941649,68.0,63.0
Moldova,81,2148116,41.0,40.0
Mongolia,170,5492919,70.0,67.0
